t,X0,Y0,Z0,X'0,Y'0,Z'0
2.480000,0.998099,-0.061657,0.000000,-0.067812,-1.097759,0.000000
2.490000,0.997325,-0.073119,0.000000,-0.087575,-1.194523,0.000000
2.500000,0.996336,-0.085545,0.000000,-0.110825,-1.290770,0.000000
2.510000,0.995096,-0.098932,0.000000,-0.137831,-1.386366,0.000000
2.520000,0.993566,-0.113270,0.000000,-0.168856,-1.481153,0.000000
2.530000,0.991704,-0.128552,0.000000,-0.204155,-1.574951,0.000000
2.540000,0.989467,-0.144765,0.000000,-0.243972,-1.667554,0.000000
2.550000,0.986809,-0.161898,0.000000,-0.288541,-1.758735,0.000000
2.560000,0.983680,-0.179934,0.000000,-0.338078,-1.848237,0.000000
2.570000,0.980030,-0.198856,0.000000,-0.392785,-1.935780,0.000000
2.580000,0.975807,-0.218642,0.000000,-0.452843,-2.021055,0.000000
2.590000,0.970955,-0.239269,0.000000,-0.518412,-2.103726,0.000000
2.600000,0.965419,-0.260707,0.000000,-0.589625,-2.183433,0.000000
2.610000,0.959143,-0.282926,0.000000,-0.666586,-2.259787,0.000000
2.620000,0.952068,-0.305890,0.000000,-0.749368,-2.332376,0.000000
2.630000,0.944136,-0.329560,0.000000,-0.838008,-2.400764,0.000000
2.640000,0.935289,-0.353890,0.000000,-0.932502,-2.464493,0.000000
2.650000,0.925467,-0.378832,0.000000,-1.032804,-2.523088,0.000000
2.660000,0.914614,-0.404333,0.000000,-1.138823,-2.576055,0.000000
2.670000,0.902672,-0.430333,0.000000,-1.250416,-2.622891,0.000000
2.680000,0.889587,-0.456769,0.000000,-1.367389,-2.663083,0.000000
2.690000,0.875307,-0.483571,0.000000,-1.489491,-2.696116,0.000000
2.700000,0.859781,-0.510665,0.000000,-1.616413,-2.721475,0.000000
2.710000,0.842964,-0.537973,0.000000,-1.747787,-2.738655,0.000000
2.720000,0.824812,-0.565410,0.000000,-1.883183,-2.747166,0.000000
2.730000,0.805288,-0.592886,0.000000,-2.022109,-2.746536,0.000000
2.740000,0.784360,-0.620308,0.000000,-2.164011,-2.736324,0.000000
2.750000,0.762000,-0.647579,0.000000,-2.308273,-2.716126,0.000000
2.760000,0.738189,-0.674596,0.000000,-2.454223,-2.685578,0.000000
2.770000,0.712913,-0.701255,0.000000,-2.601130,-2.644373,0.000000
2.780000,0.686166,-0.727447,0.000000,-2.748214,-2.592258,0.000000
2.790000,0.657951,-0.753063,0.000000,-2.894645,-2.529050,0.000000
2.800000,0.628278,-0.777991,0.000000,-3.039555,-2.454638,0.000000
2.810000,0.597168,-0.802119,0.000000,-3.182043,-2.368994,0.000000
2.820000,0.564648,-0.825334,0.000000,-3.321181,-2.272172,0.000000
2.830000,0.530758,-0.847525,0.000000,-3.456027,-2.164320,0.000000
2.840000,0.495545,-0.868584,0.000000,-3.585634,-2.045680,0.000000
2.850000,0.459066,-0.888404,0.000000,-3.709061,-1.916589,0.000000
2.860000,0.421388,-0.906882,0.000000,-3.825381,-1.777485,0.000000
2.870000,0.382585,-0.923922,0.000000,-3.933700,-1.628900,0.000000
2.880000,0.342743,-0.939431,0.000000,-4.033160,-1.471465,0.000000
2.890000,0.301954,-0.953324,0.000000,-4.122960,-1.305900,0.000000
2.900000,0.260319,-0.965525,0.000000,-4.202359,-1.133015,0.000000
2.910000,0.217944,-0.975963,0.000000,-4.270692,-0.953697,0.000000
2.920000,0.174944,-0.984580,0.000000,-4.327378,-0.768905,0.000000
2.930000,0.131437,-0.991326,0.000000,-4.371930,-0.579662,0.000000
2.940000,0.087547,-0.996162,0.000000,-4.403959,-0.387039,0.000000
2.950000,0.043400,-0.999060,0.000000,-4.423187,-0.192150,0.000000
2.960000,-0.000874,-1.000001,0.000000,-4.429443,0.003868,0.000000
2.970000,-0.045145,-0.998982,0.000000,-4.422673,0.199864,0.000000
2.980000,-0.089284,-0.996008,0.000000,-4.402937,0.394685,0.000000
2.990000,-0.133161,-0.991096,0.000000,-4.370407,0.587195,0.000000
3.000000,-0.176650,-0.984276,0.000000,-4.325369,0.776283,0.000000
3.010000,-0.219628,-0.975586,0.000000,-4.268214,0.960878,0.000000
3.020000,-0.261976,-0.965076,0.000000,-4.199433,1.139960,0.000000
3.030000,-0.303580,-0.952808,0.000000,-4.119611,1.312573,0.000000
3.040000,-0.344333,-0.938849,0.000000,-4.029415,1.477831,0.000000
3.050000,-0.384136,-0.923279,0.000000,-3.929590,1.634930,0.000000
3.060000,-0.422896,-0.906180,0.000000,-3.820939,1.783152,0.000000
3.070000,-0.460528,-0.887647,0.000000,-3.704321,1.921871,0.000000
3.080000,-0.496959,-0.867777,0.000000,-3.580633,2.050557,0.000000
3.090000,-0.532121,-0.846671,0.000000,-3.450802,2.168777,0.000000
3.100000,-0.565957,-0.824437,0.000000,-3.315768,2.276198,0.000000
3.110000,-0.598422,-0.801184,0.000000,-3.176480,2.372581,0.000000
3.120000,-0.629476,-0.777023,0.000000,-3.033880,2.457783,0.000000
3.130000,-0.659091,-0.752066,0.000000,-2.888893,2.531751,0.000000
3.140000,-0.687249,-0.726425,0.000000,-2.742420,2.594519,0.000000
3.150000,-0.713938,-0.700212,0.000000,-2.595328,2.646199,0.000000
3.160000,-0.739156,-0.673537,0.000000,-2.448444,2.686979,0.000000
3.170000,-0.762910,-0.646508,0.000000,-2.302548,2.717112,0.000000
3.180000,-0.785213,-0.619230,0.000000,-2.158366,2.736909,0.000000
3.190000,-0.806085,-0.591803,0.000000,-2.016571,2.746735,0.000000
3.200000,-0.825554,-0.564327,0.000000,-1.877775,2.746996,0.000000
3.210000,-0.843652,-0.536894,0.000000,-1.742529,2.738135,0.000000
3.220000,-0.860418,-0.509593,0.000000,-1.611323,2.720622,0.000000
3.230000,-0.875894,-0.482508,0.000000,-1.484584,2.694951,0.000000
3.240000,-0.890126,-0.455719,0.000000,-1.362679,2.661626,0.000000
3.250000,-0.903165,-0.429300,0.000000,-1.245914,2.621162,0.000000
3.260000,-0.915062,-0.403318,0.000000,-1.134538,2.574074,0.000000
3.270000,-0.925874,-0.377839,0.000000,-1.028742,2.520876,0.000000
3.280000,-0.935656,-0.352919,0.000000,-0.928668,2.462069,0.000000
3.290000,-0.944467,-0.328614,0.000000,-0.834404,2.398147,0.000000
3.300000,-0.952364,-0.304972,0.000000,-0.745996,2.329585,0.000000
3.310000,-0.959406,-0.282036,0.000000,-0.663445,2.256840,0.000000
3.320000,-0.965652,-0.259848,0.000000,-0.586712,2.180346,0.000000
3.330000,-0.971159,-0.238441,0.000000,-0.515724,2.100515,0.000000
3.340000,-0.975985,-0.217847,0.000000,-0.450375,2.017734,0.000000
3.350000,-0.980185,-0.198095,0.000000,-0.390531,1.932364,0.000000
3.360000,-0.983814,-0.179207,0.000000,-0.336031,1.844738,0.000000
3.370000,-0.986923,-0.161206,0.000000,-0.286694,1.755165,0.000000
3.380000,-0.989564,-0.144110,0.000000,-0.242318,1.663923,0.000000
3.390000,-0.991785,-0.127933,0.000000,-0.202683,1.571269,0.000000
3.400000,-0.993633,-0.112688,0.000000,-0.167557,1.477429,0.000000
3.410000,-0.995151,-0.098387,0.000000,-0.136695,1.382607,0.000000
3.420000,-0.996380,-0.085039,0.000000,-0.109842,1.286982,0.000000
3.430000,-0.997360,-0.072650,0.000000,-0.086735,1.190711,0.000000
3.440000,-0.998126,-0.061226,0.000000,-0.067104,1.093930,0.000000
3.450000,-0.998713,-0.050772,0.000000,-0.050674,0.996753,0.000000
3.460000,-0.999150,-0.041292,0.000000,-0.037166,0.899277,0.000000
3.470000,-0.999465,-0.032788,0.000000,-0.026298,0.801580,0.000000
3.480000,-0.999683,-0.025261,0.000000,-0.017784,0.703728,0.000000
3.490000,-0.999827,-0.018713,0.000000,-0.011340,0.605770,0.000000
3.500000,-0.999916,-0.013146,0.000000,-0.006677,0.507745,0.000000
3.510000,-0.999966,-0.008559,0.000000,-0.003508,0.409680,0.000000
3.520000,-0.999990,-0.004952,0.000000,-0.001545,0.311593,0.000000
3.530000,-1.000000,-0.002327,0.000000,-0.000498,0.213497,0.000000
3.540000,-1.000002,-0.000682,0.000000,-0.000080,0.115398,0.000000
3.550000,-1.000003,-0.000019,0.000000,-0.000002,0.017298,0.000000
3.560000,-1.000003,-0.000336,0.000000,0.000026,-0.080802,0.000000
3.570000,-1.000001,-0.001635,0.000000,0.000291,-0.178902,0.000000
3.580000,-0.999995,-0.003914,0.000000,0.001083,-0.277000,0.000000
3.590000,-0.999977,-0.007175,0.000000,0.002690,-0.375091,0.000000
3.600000,-0.999938,-0.011416,0.000000,0.005401,-0.473165,0.000000
3.610000,-0.999864,-0.016638,0.000000,0.009504,-0.571207,0.000000
3.620000,-0.999742,-0.022840,0.000000,0.015287,-0.669193,0.000000
3.630000,-0.999552,-0.030022,0.000000,0.023038,-0.767087,0.000000
3.640000,-0.999274,-0.038181,0.000000,0.033044,-0.864845,0.000000
3.650000,-0.998883,-0.047318,0.000000,0.045589,-0.962407,0.000000
3.660000,-0.998352,-0.057429,0.000000,0.060956,-1.059700,0.000000
3.670000,-0.997653,-0.068511,0.000000,0.079427,-1.156633,0.000000
